eda approach and steps to analyse is excellently taught the formal modelling take the course to a lot of depth	3
i am taking the digital marketing specialization and this has been the poorest course i have taken thus far the instructor is obviously reading directly from a script because of her constant long pauses between words and how frequently she gets lost when presenting information she also clicks to new slides and bullet points at the wrong time which is very disruptive the information presented on the slides really does not summarize what she is saying at all and i constantly had to refer to the transcript to get the information i needed to write downthe assesment questions for this course are also quite poor and a lot of the time need to be further researched online the quiz questions also seem more involved than the lectures presented and can need some researching as well i was looking forward to this course and i am disappointed the instruction for this course seems like she does not the subject well enough to provide insight and quite possibly as if this is the first time she is giving a lecturepresentation	1
i wish this course was more focused on building and analyzing data in excel it feels like its more focused on financial measurements and probability it hasnt related to my line of work yet	2
good for someone just start learning python	3
nothing practical	0
good quick start for beginners in project management can be suggested for capm preparation	4
awesome content i leaned a lot	4
could have been presented in a better way	1
provided nothing of value or relevance to the previous courses additionally there was essentially no input from wharton instructors	0
this course helped me a lot its a big help to me as a student to learn all of this in videos and words	4
this course is pretty basic as far as grammar goes it really only covers tenses and parallel agreement im also pretty there is more to punctuation than the semicolon and the comma although i didnt realize how complicated comma placement could bethe professor talks like shes on tranquilizers and its difficult to do peer reviews when  of the class apparently doesnt speak english as their first languagei learned some things but this course should really be called how and when to use a comma would anyone really pay money for this	1
interesting subject but not much content and assessments are way too short more variety in assignments would be nice too	1
thanks courseranice course and i have learned lot of stuff in this website	4
it is a very small introduction to swift while the last assignment expects you to be rather fluent in programming using swift a lot of self study using the guides provided by apple and other sources is needed to successfully complete this coursefurthermore the videos indicate a lack of preparedness on part of the instructors as a lot of sentences are cut of halfway  then started a new with a new goal all of which makes this course very hard to understand for free it is passable but had i payed i would sincerely regret itpart  is better but still changing thoughts midway in a sentence	0
this course should be longer and more in depth however i did find the readings quite useful and intriguing	2
its a shame to split a one month course to four	0
expected so much more	1
what a great course the content was prescient to the artwork i do and the assignments fun and applicable i look forward to taking the next course in the sequence	4
the content of this course was pitched well for a beginner in social media and marketing and provided a great overview of what to expect from the rest of the specialisation the resources were varied and interesting and came in a variety of formats to be accessible to as many students as possible the quizzes were wellsetup some of the wording of the assignment was difficult to understand and this from a native english speaker and the range of answers i reviewed for my peers reflected that this was not just the case for me it was fascinating reading what others were using social media and digital marketing strategies to leverage  the variety of industries and subsectors represented in the cohort was amazing	3
this was a well presented course that covered some very interesting areas of planet earth becoming sustainable it was detailed and demanding but fair and we learned a lot	4
it was a excellent experience i learn so many things about food and beverage management and i feel ready to start managing companies of this subject lessons were useful for me to add marketing and management knowledge	4
excellent course by salvatore scibona the range of subjects covered was so wide and the practical tips given in the course are really helpful thanks a lot salvatore a welldesigned course 	4
this course so far is really very useful in my academics and through this course i am now wellversed with all the marketing strategies used in the industryi would like to thank the professor for teaching us so well	3
for an introductory course with no prerequisites the assignments should cover material that has been introduced in lectures nonintroductory and advanced courses in r can require students to look outside of lectures for completing relatively complex problems	0
very hard for a beginner lacks the slow build up i needed missing an explanation about a comma cost me about  hours the assignments are brutal which encourages cheating	0
very good overview over a topical area  more indepth exercises for testing ones own understanding might have been helpful	3
i am disappointed about this course i was expecting to learn more in this subject as described on the course info however the quality of the lectures is not good at all i havent found any lecture that present the knowledge as the ivy league university as yale i felt sorry for the students who actually attained this class at yale campus the professor was not prepare for the lectures and confusedforgot sometime i was hoping that the nobel prize winner would teach something that complicated in the simple way the questions in the exam ask mostly about year person numbers which is not the good exam per my perspective if you want the have the certificate from yale you can take this course but if you want to learn about financial markets i would not recommend this course im so sorry	0
the quizzes are not set up correctly and you get marked wrong when you put in the correct answers it seems that the course was rushed and not properly tested before it accepted students the content is good and that is why i gave it more than one star	1
a bit too much math in the questions although it seemed in the videos that we could skip it im very visually oriented and also a mensa member and i would have explained more with graphics or at least not have to much equations in the questions	3
best course i have done so far i find the course interesting stimulating and most importantly enjoyable and informative thank you professor and ie business school 	4
i expected far more handy real life excel examples not to see a teacher speaking and writing stat formulas for hoursthe idea of this course is very good it has some room for improvement	1
i liked the emphasis on the spoken language and the bullets on china and its culture i wish we had also the chinese characters as in the first course there were problems with the computer assessment of some of the quizzes	2
this course is a joke contents is very very poor and you will have a lot of problems making the assigments	0
i found this course to be stimulating and challenging the coursework is much more difficult than the prerequisites would have you believe i found myself dusting off my old linear algebra texts and matrix math notes in the end i worked through it but it was a struggle	3
very good course i think i am addicted to programming	4
really i havent seen a course with slides till nowno one will be interested to take a course like this with some slides to read from	0
some lessons are too simple the homework is not very clear and you need much more time to do it than it is said	1
the proposition of the course is very interesting the content especially from the required book is very good but i think the instructor could dive deeper in the content of her lectures and they could be a little bit more dynamics	2
i think it is a decent course to understand how the peer review process work however it does not really help to write a paper i think some ideas are not applied to every field in particular telling students to look for the board of editors in a journal and adapt your results and how you express things accordingly it is in my opinion a bit unethical moreover i was expecting that the course will be taught by a professor but instead it is done by a group of phds some of them in their first year of research if they intend to target a phd audience this is clearly a drawback as some of them might know the same as you do finally as some people already pointed out the quality of the english of some of the instructor is not good in particular there are a couple of them that you cant barely understand it would have been more useful if the full course is taught by the  of them that can actually speak good	1
i dont like the tools they used it seems like a promotion for their company	0
video is of poor quality instructor distracts you picking up his glasses from his nose every  seconds reading outdated you can suggests books from  on digital topics and last assignment is based on a website that is not longer online	1
basic but interesting	2
thank you for this course i learned so much on this course it has encouraged to not give up on this new career of web development i have started	4
good overview needs to include more hands on development  star because coursera wont let me take the capstone even after completing all four prerequisite classes this one is the fourth	0
if you are considering this specialization i would recommend the andrew ng course instead and the main reason is that it isnt depend on proprietary ml framework despite the good lectures the assignments dont help you develop the knowledge required for ml developer roletaking in consideration the permanent postponing the courses delivery from summer  to summer  finally the most interesting part of the specialization was cancelled im completely disappointed with the specialization learning expirience	0
this is an informative and effective course that boosts confidence and motivation for starting more complex and lengthier subjects very enjoyable to watch im planning on rewatching this course sporadically after completed to maintain the powerful study skills i have gained and for the inspirational optional interviews included	4
this course hasnt been upgraded to python  ive been following along using python  code myself but its  and python  reaches end of life in  years at 	1
i enjoyed this course and appreciated the fact that not all the assignments were multiple choice it was great to be able to develop ideas through the case studies and exercises i would have liked if actual tas would review our work instead of other classmates but i realize this might be unrealistic due to the high number of people enrolled in the course	3
very informative and interesting	4
initially gets very boring but at the end gives you more information about where to orient yourself some useful information	3
it is very us oriented which is not necessarily a negative aspect but please mention that in the course structure more clearly although professor warburg is very inspiring the optimistic attitude towards policy leaders is what i think is needed for the younger generation who get sidelined by politics and not policy it was quite rewarding thankyou	3
great introduction to python and programming very accessible for everybody	4
the course is too short and not really detailed but very informative and too bad you can receive a statement of accomplishment	3
lectures were extremely good but assignments and graders were very low quality and difficult to decipher requirements from professors and tas were not active in the forums	1
good introduction of working with tabular data in pandas dataframes ive learnt how to access columns rows and specific values in a dataframe how to transform the data and how to merge dataframes together the assignments are a lot of doityourself by reading documentation and qa sites so youre forced to read a lot and learn more than actually necessary teacher and mentors gave hints on the discussion forum which helped could have been better if part of the solution is given eg answer   without actually giving the full answer i also think the automatic grader should give an explanation or example of a correct answer when the assignment is answered correctly it would have been better that way because i could review the strengths and weaknesses of the methods i used to get to the answer	2
 not worth the money and time the reason i say this is because the same concepts are reviewed and explained in lot more fun creative and interactive manner at other free of cost resources like khan academy youtube channels etc who is the audience i dont think instructor has any idea of target audience are these meant for novice or advanced learners  why so serious my philosophy is that if i want to appear in video i better learn to cheer up seriously i mean after dealing with rush hour traffic and psychopath boss i dont want to see a unhappy serious looking face throughout a course not good for my heartsorry if it is a mean not statistic mean or anything but i have come here investing my money and time out of my family time  and i am not happy with this coursethe only reason i have to complete this course is because of the requirement in specialization degree i wont mind getting my refund back on this course	0
the course was short and to the point which helped me understanding the use of punctuations specially comma and semi colon and different types of sentence structures and variety	3
the teacher is amazing and the content is interesting and makes me want to pursue law however the classmates are extremely aggregating and track you down to give you low scores in order that they themselves may succeed i cannot explore my interests with this sort of setting	1
lessons were ok but the assignments were really frustrating not because of the questions itself but because the questions were organised badly or were really vague and confusing	0
challenging if not a developer and grader needs very specific code that aside this was a fun interesting course great intro to bluemix and nodered and js need to allow significant time to research around content taught and decomposing programming assignments takes time make use of forums and post queries  peers answer as well as staff you learning in ibm suggests  hours  most on forums were taking  hours per assignment overall this was a good intro course	3
the code for the final assignment is peer reviewed which doesnt make sense it should be reviewed by either a ta or some kind of application than can verify what youve done also the assignments were a bit of a leap from the video tutorials at times	1
i feel that i need more explanation about the code i dont feel capable to solve different problems on my own	3
i think the content was quite interesting as someone new to marketing i was really looking forward to the lectures and exercises however the content was simply too much for me to complete its a bit ironic that a course about marketing missed its market to give a bit more detail there were  video lectures  assignments that had to be done days before the end of the week to be peerreviewed and then i had to peer review others work while also going through all the assigned reading it seemed more like a courseload for a full time student or perhaps a parttime student as online students typically are neither im surprised the course content wasnt better managed i take a lot of notes so perhaps thats what slowed me down but i also have a full time job and i intern on the weekends i was hoping this course could easily be done in the evening hours other coursera courses provided an excellent balance of content and courseload im disappointed that this course wasnt one of them it seemed very useful and interesting	1
learned quite a bit but course was not as good as the first course of the specializationespecially the presentations in week  are rather messy	2
great overview of machine learning it was helpful to understand the concepts at a high level	4
compliments the course introduced me to a number of reporting and research tools that i was not aware of i have also become a great fan of avinash kaushik and his blog in the processcriticism the lecturer could have gone into more details in many areas of his course as opposed to just assuming that the prescribed reading material had been read many detailed points were glanced over and one prescribed reading material peterson e t  web analytics demystified was written in  and as a result much of the information presented in this text book is very outdated	2
it was a very well presented description of what iot is and specificsit does not go into details that need special knowledge but it is also not boring for someone that comes from electrical  electronics field	4
i think whole course was well explained but sometimes i had a hard time to get a key point in videos	3
html and css is good js search for another course	0
too short too expensive	2
my expectations were different	0
the course material was good but the lectures being in spanish with english translations was difficult to follow i was disappointed in the short videos with subtitles	2
very poorly structured purely academic and dull as dishwater buddhist meditation is a profoundly beautiful tradition but there is no beating heart here i gave up quickly	0
overall is was a nice course but could be a bit more clear in the last  assignments something different was shown in the assignment video than what was written on the assignment paper	3
the syllabus is nice for three weeks coursebut you have missed many more important topics like forms etcplease try to include them in futureanyways  teaching is good	2
i learned a lot about deep learning however the quiz contains several mistakes and i wasted many hours i also thought explanation is unnecessarily hard to understand	1
the course material is funny and easy to follow it breaks down important aspects of game design into easy chunks and assignments as for reviews i feel like you get back what put in if you make the effort for someone else you will get in return	3
the instructors were not very engaging	1
the course is not that much helpful for those who want to do work for coding i mean the level of toughness of questions is not too good to compete any coding competition	2
very very introductory i didnt find the tooling aspects of this course particularly helpful but im not in the target audience its length was misleading  i completed the work in two days easily but i am a technologist and already had the tools installed if you use github and rstudio the meat of the course is only about an hour of the lecture	1
a little too superficial and hand waving	2
boring assaignments	1
its quite simple and doesnt show specific steps of how to do it	2
this mooc offers some great tools and tips for all social media marketers or just enthusiasts out there great thorough content will referenced and a great experience all together	4
this teacher is an amateur	1
great faculty and course content	3
its a good but timid introduction to game development with unity it addresses many relevant game development concepts like programming collision detection and d coordinates it course may be better appreciated if taken as part of a specialization	2
very interesting courses with a good theory basis in portfolio manangement	3
this course is quite outdated i didnt learn much beyond what i already knew before i started the spark courses from edx are way better than these hopefully big data analysis with scala and spark from the école polytechnique fédérale de lausanne also from coursera is good i know their scala courses which are taught by martin odersky are quite goodthere are very few quizzes between lectures and the assignments are not very challengingmany of the videos specially the ones at the end were extremely rushed over they serve more as a review if you know the subject otherwise i dont think most people will get much from themthe audio isnt very good for most of the lectures many having an very annoying chirping sound from when you leave an old flip phone near a computer tehtehteh tehtehteh tehtehteh tehtehhhhhh gosh i havent heard this sound in maybe over five years	1
better than the first but it looks like each element was created in a single day some segments were repetitive and dragged on though the instructor seemed both personable and knowledgeable when the only visual is the instructor it gets hard to watch an interesting model of both what to do and what not to do in creating your own online course	2
solid course very handson accomplishes its goals	3
overall good course clean and elegant style of presentation some videos had some echo problems with the sound also there were some english typos in some slides and in video quizzes that should be corrected i would like to seen the slides for the presentations also if this is going to be a series of courses wouldnt it make sense to bundle it in a specializationnonetheless congratulations and thank you for presenting this course in coursera	2
